书名,地址,作者,出版社,出版日期,价格,评分,评价
离开的，留下的,[意] 埃莱娜·费兰特 , 人民文学出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
亲爱的安德烈,龙应台 , 人民文学出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
孽子,白先勇 , 广西师范大学出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
昨日的世界,[奥] 斯蒂芬·茨威格 , 广西师范大学出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
经济学原理（上下）,[美] 曼昆 , 机械工业出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
亮剑,都梁 , 解放军文艺出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
球状闪电,刘慈欣 , 四川科学技术出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
倾城之恋,张爱玲 , 北京十月文艺出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
绿毛水怪,王小波 , 时代文艺出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
不能承受的生命之轻,米兰·昆德拉 , 上海译文出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
面纱,(英)W.萨默塞特·毛姆 , 重庆 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
解忧杂货店,[日] 东野圭吾 , 南海出版公司 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
银河系漫游指南,[英] 道格拉斯·亚当斯 , 四川科学技术出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
古文观止,吴楚材 , 中华书局 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
献给阿尔吉侬的花束,[美] 丹尼尔·凯斯 , 广西师范大学出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
激荡三十年,吴晓波 , 中信出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
枪炮、病菌与钢铁,[美] 贾雷德·戴蒙德 , 上海世纪出版集团 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
我的阿勒泰,李娟 , 云南人民出版社 ,isbn000,2000/1/1,key,class,0,0,1,0,nil,2000/1/1,2000/1/1
